ts_utc,channel,region,product,manual_review,identity_mismatch,processing_seconds
2026-09-15T12:00:07Z,web,west,auto_loan,0,0,41.7
2026-09-15T12:00:13Z,partner,northeast,auto_loan,0,0,55.5
2026-09-15T12:00:21Z,web,midwest,personal_loan,0,0,17.6
2026-09-15T12:00:21Z,web,northeast,credit_card,0,0,26.4
2026-09-15T12:00:22Z,mobile,northeast,auto_loan,0,0,51.0
2026-09-15T12:00:53Z,mobile,midwest,personal_loan,0,0,36.2
2026-09-15T12:00:58Z,partner,southeast,personal_loan,1,0,67.7
2026-09-15T12:01:35Z,web,west,auto_loan,0,0,20.6
2026-09-15T12:01:36Z,web,northeast,personal_loan,0,0,25.9
2026-09-15T12:01:40Z,partner,midwest,personal_loan,0,0,53.5
2026-09-15T12:01:57Z,web,midwest,personal_loan,0,0,38.2
2026-09-15T12:02:32Z,mobile,southeast,personal_loan,0,0,65.4
2026-09-15T12:02:37Z,mobile,midwest,personal_loan,0,0,56.2
2026-09-15T12:02:43Z,web,northeast,auto_loan,0,0,41.3
2026-09-15T12:02:50Z,web,northeast,auto_loan,0,0,25.2
2026-09-15T12:02:51Z,mobile,west,personal_loan,0,0,39.6
2026-09-15T12:03:07Z,web,west,personal_loan,0,0,5.6
2026-09-15T12:03:12Z,web,northeast,personal_loan,0,0,29.1
2026-09-15T12:03:19Z,mobile,west,personal_loan,0,0,42.1
2026-09-15T12:03:22Z,web,midwest,auto_loan,0,0,23.6
2026-09-15T12:03:24Z,web,southeast,personal_loan,1,0,23.3
2026-09-15T12:03:40Z,mobile,west,personal_loan,0,0,44.1
2026-09-15T12:03:52Z,web,northeast,personal_loan,0,0,33.5
2026-09-15T12:03:54Z,web,west,auto_loan,0,0,37.0
2026-09-15T12:04:00Z,web,midwest,credit_card,0,0,30.6
2026-09-15T12:04:24Z,mobile,southeast,credit_card,0,0,37.2
2026-09-15T12:04:30Z,mobile,midwest,credit_card,0,0,45.3
2026-09-15T12:04:45Z,web,midwest,auto_loan,0,0,23.8
2026-09-15T12:05:27Z,web,midwest,auto_loan,0,0,29.9
2026-09-15T12:05:28Z,web,midwest,auto_loan,0,0,28.6
2026-09-15T12:05:30Z,mobile,southeast,personal_loan,0,0,42.1
2026-09-15T12:05:53Z,mobile,midwest,personal_loan,0,0,49.5
2026-09-15T12:05:54Z,mobile,west,auto_loan,0,0,38.1
